participant,soa,sessions,bf,cohensd
001,0.0375,6,2639685538712623e46,1
001,0.025,6,9908915251104792e9,0.8
001,0.0625,6,7769465503179886e4,1.1
001,0.075,6,14835188581148282e73,1.1
001,0.3,6,31555391720742.473,0.6
001,0.05,6,49505456212852405e35,1.1
001,0.0125,6,0.0012708731066577573,0.1
002,0.025,5,20125071870096392e16,0.9
002,0.0375,5,3395709400884544e3,1.5
002,0.0125,5,0.006616300180347704,0.2
002,0.075,5,541382776995512e3,2.2
002,0.0625,5,483014719556930.9,2.2
002,0.05,5,3163629744805849600,1.9
002,0.3,5,116797659800497e8,1.2
003,0.3,5,76881669042049140,0.7
003,0.0375,5,4260032091489562e37,1
003,0.0625,5,1492116183589632.8,2.2
003,0.0125,5,0.0013754274524709034,0.1
003,0.025,5,147922593364160580,0.7
003,0.05,5,40651101592338210,1.5
003,0.075,5,14586450401213870,1.9
004,0.075,5,2.0351817355870492e+112,2.7
004,0.3,5,6382641606009777,3.5
004,0.0375,5,18954383585791.746,2.2
004,0.05,5,5333942871593450,2.7
004,0.0125,5,0.002852913353489407,0.2
004,0.025,5,16118216534975522,1.4
004,0.0625,5,1534357435052994.8,3.1
005,0.0125,5,9.153868254164123e-4,0
005,0.025,5,479010697856876160,0.7
005,0.05,5,15806511940177365e157,1.3
005,0.0375,5,24008514577061163e26,0.9
005,0.0625,5,190952138902254600,1.5
005,0.075,5,23559458464331638e7,1.7
005,0.3,5,781981242478236e29,1.3
006,0.075,6,66013775320888.375,2.2
006,0.0125,6,0.004343807424667331,0.2
006,0.05,6,1304792206047155700,2.1
006,0.0625,6,2204612649588723.5,2
006,0.3,6,78099367573217.125,2.3
006,0.025,6,2952682860501807e6,0.6
006,0.0375,6,845884367617112.25,1.6
